country,estimator,paperId,pdf_title,estimate,source,overall_average,n_estimate_overall,estimate_expanded,n_estimate_expanded,estimate_selected,n_estimate_selected,estimate_restricted,n_estimate_restricted
Switzerland,IGE,48f498233b773120e7b071053a1d17e99efbefef,Switzer-Land of Opportunity: Intergenerational Income Mobility in the Land of Vocational Education,0.163,Table 8,0.213734785108108,37,0.213734785108108,37,0.1494,20,0.1524,5
Switzerland,IRA,6ccbc55fe44c23fbd49ef4273b1a512ffdb3c347,The Effect of Immigration on Intergenerational Income Mobility of Natives,0.134,Table 4,0.136285714285714,28,0.136285714285714,28,0.140571428571429,21,0.134,1
Taiwan,IGE,b2b114464a11327e59560e3133f0bc2683bbfdec,INTERGENERATIONAL INCOME MOBILITY ACROSS THREE GENERATIONS: THE CASE OF TAIWAN,0.182,Table 5,0.375900966282609,46,0.366047619047619,42,0.15825,4,0.178,2
Taiwan,IRA,d05797b92b81c4d579c732241ade31102730b1b7,Intergenerational earnings mobility in Taiwan: 1990 - 2010,0.276,Table 6,0.255,14,0.26125,8,0.26125,8,0.26125,8
Turkey,IGE,efb80051276634b486b06aa442f9b570584f5d2d,Intergenerational income mobility in Turkey,0.77,Table 8,0.655319322585952,541,0.649659774436091,532,0.486026717557252,262,0.76,4
Turkey,IRA,260e8ac9fee5df82fef51a5ca0d0473f76b695ea,Online Appendix for Intergenerational Income Mobility in Turkey,0.416,Table A.14,0.406142857142857,14,0.406142857142857,14,0.4005,2,0.4005,2
United Kingdom,IGE,3db533b25b3da8505638faca7279a46b10d3bb7a,Intergenerational income mobility: New evidence from the UK,0.293,Table 13,0.266640416935484,372,0.291655751194539,293,0.279105940594059,101,0.293,1
United Kingdom,IRA,3db533b25b3da8505638faca7279a46b10d3bb7a,Intergenerational income mobility: New evidence from the UK,0.262,Table 13,0.271567111111111,225,0.277407216494845,194,0.279163265306123,98,0.262,1
United States,IGE,0921f81c1783cc3a40212dec2675fcfb7f4b814e,The Intergenerational Transmission of Family-Income Advantages in the United States,0.46,Table 3,0.441908055116738,1165,0.441564359068816,1148,0.377463414634146,41,0.46175,8
United States,IRA,3436d98423d664e2330a7c76224709d6b9b5a8a3,The role of imputed rents in intergenerational income mobility in three countries,0.419,Table 2,0.323282807017544,570,0.323074295774648,568,0.371090909090909,33,0.428,2
Uruguay,IGE,added_ref_003,Intergenerational mobility along the income distribution: estimates using administrative data for a developing country,0.208,Table B7,0.189416666666667,12,0.212777777777778,9,0.212333333333333,3,0.212333333333333,3
Uruguay,IRA,added_ref_003,Intergenerational mobility along the income distribution: estimates using administrative data for a developing country,0.289,Table B3,0.246162804878049,164,0.252409150326797,153,0.261566129032258,62,0.266829411764706,17
Vietnam,IGE,a41a2554885f8a20e35d1de1a76b0d89c3a9bfe3,Intergenerational Earnings and Income Mobility in Vietnam,0.46,Table 7,0.35707768792,75,0.374565217391304,46,0.45,6,0.46,1
