n,Share,decile,origin,child,sd,gender,mixity,order_gender,order_origin
74,0.0806100217864924,4,Other,44.527027027027,31.1941437131917,Female,No native parent,1,4
75,0.0318742031449214,6,North Africa,42.64,28.6241440329946,Female,No native parent,1,2
76,0.070829450139795,9,South Europe,53.6184210526316,28.9956167286313,Female,One native parent,1,3
80,0.0723981900452489,9,South Europe,53.825,32.1876519290995,Male,One native parent,0,3
84,0.0785046728971963,4,Other,42.1547619047619,25.8897077040833,Female,One native parent,1,4
86,0.0824544582933845,5,Other,50.2093023255814,29.9682641076385,Male,One native parent,0,4
88,0.0822429906542056,6,Other,44.25,25.5874655017764,Female,One native parent,1,4
90,0.0867888138862102,6,South Europe,48.8111111111111,29.5440613414831,Female,No native parent,1,3
91,0.0386740331491713,5,North Africa,32.4505494505495,25.6407937718454,Female,No native parent,1,2
94,0.0876048462255359,8,South Europe,48.468085106383,27.7444955802666,Female,One native parent,1,3
94,0.0878504672897196,5,Other,43.4893617021277,26.6449150592177,Female,One native parent,1,4
97,0.0827645051194539,6,South Europe,57.6288659793815,27.6519738549638,Male,No native parent,0,3
100,0.0904977375565611,8,South Europe,61.54,27.7078627209978,Male,One native parent,0,3
103,0.0987535953978907,6,Other,61.5825242718447,28.7717604850436,Male,One native parent,0,4
103,0.0987535953978907,7,Other,56.8446601941748,31.4744706013986,Male,One native parent,0,4
104,0.097196261682243,7,Other,49.3173076923077,29.6265639210571,Female,One native parent,1,4
104,0.110520722635494,3,Other,47.0192307692308,30.3641270105247,Male,No native parent,0,4
105,0.11437908496732,3,Other,39.8285714285714,29.4224721621394,Female,No native parent,1,4
107,0.0433901054339011,5,North Africa,50.7009345794393,32.700243768427,Male,No native parent,0,2
113,0.105312208760485,2,South Europe,33.3893805309735,24.4129040923028,Female,One native parent,1,3
114,0.109300095877277,8,Other,59.5964912280702,31.3170256214453,Male,One native parent,0,4
120,0.111835973904939,5,South Europe,39.725,23.9950844055663,Female,One native parent,1,3
121,0.109502262443439,5,South Europe,60.1239669421488,25.2957737734764,Male,One native parent,0,3
123,0.0582386363636364,1,North Africa,32.3739837398374,26.5179797879198,Female,One native parent,1,2
127,0.118359739049394,6,South Europe,45.4409448818898,23.1758815326278,Female,One native parent,1,3
127,0.114932126696833,6,South Europe,58.2204724409449,28.8157566536272,Male,One native parent,0,3
131,0.0628598848368522,1,North Africa,40.5114503816794,27.8425149207284,Male,One native parent,0,2
132,0.119457013574661,4,South Europe,51.1666666666667,30.3073736188786,Male,One native parent,0,3
133,0.120361990950226,2,South Europe,50.6691729323308,28.5353905210629,Male,One native parent,0,3
133,0.120361990950226,7,South Europe,61.609022556391,29.0260683739546,Male,One native parent,0,3
134,0.129218900675024,5,South Europe,46.5223880597015,26.0548052854904,Female,No native parent,1,3
136,0.126747437092265,7,South Europe,48.8455882352941,26.9726552000411,Female,One native parent,1,3
139,0.129543336439888,4,South Europe,40.5539568345324,25.3917630892526,Female,One native parent,1,3
140,0.130475302889096,3,South Europe,37.6142857142857,23.548384512641,Female,One native parent,1,3
143,0.0579886455798865,4,North Africa,42.9090909090909,29.8375670880036,Male,No native parent,0,2
145,0.0616234594135147,4,North Africa,39.951724137931,30.1264305871667,Female,No native parent,1,2
146,0.155154091392136,2,Other,49.6780821917808,29.9309400365084,Male,No native parent,0,4
146,0.12457337883959,5,South Europe,66.4041095890411,24.5698381865255,Male,No native parent,0,3
149,0.139252336448598,8,Other,52.2214765100671,28.9827175058069,Female,One native parent,1,4
150,0.14018691588785,9,Other,55.8666666666667,30.163462200178,Female,One native parent,1,4
152,0.146576663452266,1,South Europe,36.5855263157895,25.5548868018674,Female,No native parent,1,3
157,0.0753358925143954,2,North Africa,48.2738853503185,27.4302405331182,Male,One native parent,0,2
157,0.142081447963801,3,South Europe,49.9872611464968,27.5213174394767,Male,One native parent,0,3
159,0.173202614379085,2,Other,39.8301886792453,31.7574286230637,Female,No native parent,1,4
168,0.0795454545454545,3,North Africa,35.1071428571429,25.1612847063754,Female,One native parent,1,2
170,0.163934426229508,4,South Europe,50.5235294117647,25.643251864141,Female,No native parent,1,3
172,0.164908916586769,9,Other,68.7383720930233,29.9022996577153,Male,One native parent,0,4
177,0.0838068181818182,5,North Africa,42.7796610169492,25.6300612274103,Female,One native parent,1,2
179,0.152730375426621,1,South Europe,48.6983240223464,27.8636033282443,Male,No native parent,0,3
181,0.174541947926712,2,South Europe,37.2762430939227,23.3714198500486,Female,No native parent,1,3
181,0.086852207293666,3,North Africa,46.8342541436464,27.7377628297907,Male,One native parent,0,2
186,0.0880681818181818,2,North Africa,33.2795698924731,27.1216939562641,Female,One native parent,1,2
186,0.0892514395393474,5,North Africa,53.8333333333333,27.0096912870811,Male,One native parent,0,2
192,0.0921305182341651,4,North Africa,50.7604166666667,29.4393492386485,Male,One native parent,0,2
194,0.165529010238908,4,South Europe,60.8041237113402,28.2797421682693,Male,No native parent,0,3
